Baisley Park,Queens,29.360455779127783
Flushing Meadows-Corona Park,Queens,27.304845733617768
South Jamaica,Queens,26.294916239877306
Randalls Island,Manhattan,24.15098994022762
Astoria Park,Queens,21.706417112147403
Briarwood/Jamaica Hills,Queens,19.945064631791805
Springfield Gardens South,Queens,19.468309288784383
Jamaica,Queens,19.283943000141097
Corona,Queens,18.22876924815508
LaGuardia Airport,Queens,18.181338808447762
Jamaica Bay,Queens,17.100529446757907
Maspeth,Queens,17.00545064007876
Eltingville/Annadale/Prince's Bay,Staten Island,16.83776475694445
JFK Airport,Queens,16.77772534867626
Battery Park,Manhattan,12.849780311151466
Morningside Heights,Manhattan,12.453698026589937
Battery Park City,Manhattan,12.448848404534205
Greenwich Village North,Manhattan,12.446949891799129
Rikers Island,Bronx,12.3063
World Trade Center,Manhattan,12.295411924223863
